Grupo 1,Grupo 2,Grupo 3,Grupo 4,Grupo 5
2CO002013,2CO002013,2CO002013,2CO002013,2CO002013
2CO002014,2CO002014,2CO002014,2CO002014,2CO002014
2CO002015,2CO002015,2CO002015,2CO002015,2CO002015
2CO002016,2CO002016,2CO002016,2CO002016,2CO002016
2CO002017,2CO002017,2CO002017,2CO002017,2CO002017
2CO003001,2CO003001,2CO003001,2CO003001,2CO003001
2CO003002,2CO003002,2CO003002,2CO003002,2CO003002
2CO003003,2CO003003,2CO003003,2CO003003,2CO003003
2CO003004,2CO003004,2CO003004,2CO003004,2CO003004
2CO003005,2CO003005,2CO003005,2CO003005,2CO003005
2CO003006,2CO003006,2CO003006,2CO003006,2CO003006
2CO003007,2CO003007,2CO003007,2CO003007,2CO003007
2CO003008,2CO003008,2CO003008,2CO003008,2CO003008
2CO003009,2CO003009,2CO003009,2CO003009,2CO003009
2CO003010,2CO003010,2CO003010,2CO003010,2CO003010
2CO003011,2CO003011,2CO003011,2CO003011,2CO003011
2CO003012,2CO003012,2CO003012,2CO003012,2CO003012
2CO003013,2CO003013,2CO003013,2CO003013,2CO003013
2CO003014,2CO003014,2CO003014,2CO003014,2CO003014
2CO003015,2CO003015,2CO003015,2CO003015,2CO003015
2CO003016,2CO003016,2CO003016,2CO003016,2CO003016
2CO003017,2CO003017,2CO003017,2CO003017,2CO003017
2CO003018,2CO003018,2CO003018,2CO003018,2CO003018
2CO004001,2CO004001,2CO004001,2CO004001,2CO004001
2CO004002,2CO004002,2CO004002,2CO004002,2CO004002
2CO004003,2CO004003,2CO004003,2CO004003,2CO004003
2CO004004,2CO004004,2CO004004,2CO004004,2CO004004
2CO004005,2CO004005,2CO004005,2CO004005,2CO004005
2CO004006,2CO004006,2CO004006,2CO004006,2CO004006
2CO004007,2CO004007,2CO004007,2CO004007,2CO004007
2CO004008,2CO004008,2CO004008,2CO004008,2CO004008
2CO004009,2CO004009,2CO004009,2CO004009,2CO004009
2CO004010,2CO004010,2CO004010,2CO004010,2CO004010
2CO004011,2CO004011,2CO004011,2CO004011,2CO004011
2CO004012,2CO004012,2CO004012,2CO004012,2CO004012
2CO004013,2CO004013,2CO004013,2CO004013,2CO004013
2CO004014,2CO004014,2CO004014,2CO004014,2CO004014
2CO004015,2CO004015,2CO004015,2CO004015,2CO004015
2CO004016,2CO004016,2CO004016,2CO004016,2CO004016
2CO004017,2CO004017,2CO004017,2CO004017,2CO004017
2CO004018,2CO004018,2CO004018,2CO004018,2CO004018
2CO005001,2CO005001,2CO005001,2CO005001,2CO005001
2CO005002,2CO005002,2CO005002,2CO005002,2CO005002
2CO005003,2CO005003,2CO005003,2CO005003,2CO005003
2CO005004,2CO005004,2CO005004,2CO005004,2CO005004
2CO005005,2CO005005,2CO005005,2CO005005,2CO005005
2CO005006,2CO005006,2CO005006,2CO005006,2CO005006
2CO005007,2CO005007,2CO005007,2CO005007,2CO005007
2CO005008,2CO005008,2CO005008,2CO005008,2CO005008
2CO005009,2CO005009,2CO005009,2CO005009,2CO005009
2CO005010,2CO005010,2CO005010,2CO005010,2CO005010
2CO005011,2CO005011,2CO005011,2CO005011,2CO005011
2CO005012,2CO005012,2CO005012,2CO005012,2CO005012
2CO005013,2CO005013,2CO005013,2CO005013,2CO005013
2CO005014,2CO005014,2CO005014,2CO005014,2CO005014
2CO005015,2CO005015,2CO005015,2CO005015,2CO005015
2CO005016,2CO005016,2CO005016,2CO005016,2CO005016
2CO005017,2CO005017,2CO005017,2CO005017,2CO005017
2CO005018,2CO005018,2CO005018,2CO005018,2CO005018
2CO005019,2CO005019,2CO005019,2CO005019,2CO005019
2CO005020,2CO005020,2CO005020,2CO005020,2CO005020
2CO005021,2CO005021,2CO005021,2CO005021,2CO005021
2CO006001,2CO006001,2CO006001,2CO006001,2CO006001
2CO006002,2CO006002,2CO006002,2CO006002,2CO006002
2CO006003,2CO006003,2CO006003,2CO006003,2CO006003
2CO006004,2CO006004,2CO006004,2CO006004,2CO006004
2CO006005,2CO006005,2CO006005,2CO006005,2CO006005
2CO006006,2CO006006,2CO006006,2CO006006,2CO006006
2CO006007,2CO006007,2CO006007,2CO006007,2CO006007
2CO006008,2CO006008,2CO006008,2CO006008,2CO006008
2CO006009,2CO006009,2CO006009,2CO006009,2CO006009
2CO006010,2CO006010,2CO006010,2CO006010,2CO006010
2CO006011,2CO006011,2CO006011,2CO006011,2CO006011
2CO006012,2CO006012,2CO006012,2CO006012,2CO006012
2CO006013,2CO006013,2CO006013,2CO006013,2CO006013
2CO006014,2CO006014,2CO006014,2CO006014,2CO006014
2CO006015,2CO006015,2CO006015,2CO006015,2CO006015
2CO006016,2CO006016,2CO006016,2CO006016,2CO006016
2CO006017,2CO006017,2CO006017,,2CO006017
2CO006018,2CO006018,2CO006018,,2CO006018
2CO007001,2CO007001,2CO007001,2CO007001,2CO007001
2CO007002,2CO007002,2CO007002,2CO007002,2CO007002
2CO007003,2CO007003,2CO007003,2CO007003,2CO007003
2CO007004,2CO007004,2CO007004,2CO007004,2CO007004
2CO007005,2CO007005,2CO007005,2CO007005,2CO007005
2CO007006,2CO007006,2CO007006,2CO007006,2CO007006
2CO007007,2CO007007,2CO007007,2CO007007,2CO007007
2CO007008,2CO007008,2CO007008,2CO007008,2CO007008
2CO007009,2CO007009,2CO007009,2CO007009,2CO007009
2CO007010,2CO007010,2CO007010,2CO007010,2CO007010
2CO007011,2CO007011,2CO007011,2CO007011,2CO007011
2CO007012,2CO007012,2CO007012,2CO007012,2CO007012
2CO007013,2CO007013,2CO007013,2CO007013,2CO007013
2CO007014,2CO007014,2CO007014,2CO007014,2CO007014
2CO007015,2CO007015,2CO007015,2CO007015,2CO007015
2CO007016,2CO007016,2CO007016,2CO007016,2CO007016
,,,,2CO007017
2CO008001,2CO008001,2CO008001,2CO008001,2CO008001
2CO008002,2CO008002,2CO008002,2CO008002,2CO008002
2CO008003,2CO008003,2CO008003,2CO008003,2CO008003
2CO008004,2CO008004,2CO008004,2CO008004,2CO008004
2CO008005,2CO008005,2CO008005,2CO008005,2CO008005
2CO008006,2CO008006,2CO008006,2CO008006,2CO008006
2CO008007,2CO008007,2CO008007,2CO008007,2CO008007
2CO008008,2CO008008,2CO008008,2CO008008,2CO008008
2CO008009,2CO008009,2CO008009,2CO008009,2CO008009
2CO008010,2CO008010,2CO008010,2CO008010,2CO008010
2CO008011,2CO008011,2CO008011,2CO008011,2CO008011
2CO008012,2CO008012,2CO008012,2CO008012,2CO008012
2CO008013,2CO008013,2CO008013,2CO008013,2CO008013
2CO008014,2CO008014,2CO008014,2CO008014,2CO008014
2CO008015,2CO008015,2CO008015,2CO008015,2CO008015
2CO008016,2CO008016,2CO008016,2CO008016,2CO008016
2CO008017,2CO008017,2CO008017,2CO008017,2CO008017
2CO008018,2CO008018,2CO008018,2CO008018,2CO008018
2CO008019,2CO008019,2CO008019,2CO008019,2CO008019
2CO008020,2CO008020,2CO008020,2CO008020,2CO008020
2CO008021,2CO008021,2CO008021,2CO008021,2CO008021
2CO008022,2CO008022,2CO008022,2CO008022,2CO008022
2CO008023,2CO008023,2CO008023,2CO008023,2CO008023
2CO008024,2CO008024,2CO008024,2CO008024,2CO008024
2CO009001,2CO009001,2CO009001,2CO009001,2CO009001
2CO009002,2CO009002,2CO009002,2CO009002,2CO009002
2CO009003,2CO009003,2CO009003,2CO009003,2CO009003
2CO009004,2CO009004,2CO009004,2CO009004,2CO009004
2CO009005,2CO009005,2CO009005,2CO009005,2CO009005
2CO009006,2CO009006,2CO009006,2CO009006,2CO009006
2CO009007,2CO009007,2CO009007,2CO009007,2CO009007
2CO009008,2CO009008,2CO009008,2CO009008,2CO009008
2CO009009,2CO009009,2CO009009,2CO009009,2CO009009
2CO009010,2CO009010,2CO009010,2CO009010,2CO009010
2CO009011,2CO009011,2CO009011,2CO009011,2CO009011
2CO009012,2CO009012,2CO009012,2CO009012,2CO009012
2CO009013,2CO009013,2CO009013,2CO009013,2CO009013
2CO009014,2CO009014,2CO009014,2CO009014,2CO009014
2CO009015,2CO009015,2CO009015,2CO009015,2CO009015
2CO010001,2CO010001,2CO010001,2CO010001,2CO010001
2CO010002,2CO010002,2CO010002,2CO010002,2CO010002
2CO010003,2CO010003,2CO010003,2CO010003,2CO010003
2CO010004,2CO010004,2CO010004,2CO010004,2CO010004
2CO010005,2CO010005,2CO010005,2CO010005,2CO010005
2CO010006,2CO010006,2CO010006,2CO010006,2CO010006
2CO010007,2CO010007,2CO010007,2CO010007,2CO010007
2CO010008,2CO010008,2CO010008,2CO010008,2CO010008
2CO010009,2CO010009,2CO010009,2CO010009,2CO010009
2CO010010,2CO010010,2CO010010,2CO010010,2CO010010
2CO010011,2CO010011,2CO010011,2CO010011,2CO010011
2CO010012,2CO010012,2CO010012,2CO010012,2CO010012
2CO010013,2CO010013,2CO010013,2CO010013,2CO010013
2CO010014,2CO010014,2CO010014,2CO010014,2CO010014
2CO010015,2CO010015,2CO010015,2CO010015,2CO010015
2CO010016,2CO010016,2CO010016,2CO010016,2CO010016
2CO010017,2CO010017,2CO010017,2CO010017,2CO010017
2CO010018,2CO010018,2CO010018,2CO010018,2CO010018
2CO011001,2CO011001,2CO011001,2CO011001,2CO011001
2CO011002,2CO011002,2CO011002,2CO011002,2CO011002
2CO011003,2CO011003,2CO011003,2CO011003,2CO011003
2CO011004,2CO011004,2CO011004,2CO011004,2CO011004
2CO011005,2CO011005,2CO011005,2CO011005,2CO011005
2CO011006,2CO011006,2CO011006,2CO011006,2CO011006
2CO011007,2CO011007,2CO011007,2CO011007,2CO011007
2CO011008,2CO011008,2CO011008,2CO011008,2CO011008
2CO011009,2CO011009,2CO011009,2CO011009,2CO011009
2CO011010,2CO011010,2CO011010,2CO011010,2CO011010
2CO011011,2CO011011,2CO011011,2CO011011,2CO011011
2CO011012,2CO011012,2CO011012,2CO011012,2CO011012
2CO011013,2CO011013,2CO011013,2CO011013,2CO011013
2CO011014,2CO011014,2CO011014,2CO011014,2CO011014
2CO011015,2CO011015,2CO011015,2CO011015,2CO011015
2CO011016,2CO011016,2CO011016,2CO011016,2CO011016
2CO011017,2CO011017,2CO011017,2CO011017,2CO011017
2CO011018,2CO011018,2CO011018,2CO011018,2CO011018
2CO011019,2CO011019,2CO011019,2CO011019,2CO011019
2CO011020,2CO011020,2CO011020,2CO011020,2CO011020
2CO011021,2CO011021,2CO011021,2CO011021,2CO011021
2CO011022,2CO011022,2CO011022,2CO011022,2CO011022
2CO011023,2CO011023,2CO011023,2CO011023,2CO011023
2CO011024,2CO011024,2CO011024,2CO011024,2CO011024
2CO011025,2CO011025,2CO011025,2CO011025,2CO011025
2CO011026,2CO011026,2CO011026,2CO011026,2CO011026
2CO011027,2CO011027,2CO011027,2CO011027,2CO011027
2CO011028,2CO011028,2CO011028,2CO011028,2CO011028
2CO011029,2CO011029,2CO011029,2CO011029,2CO011029
2CO011030,2CO011030,2CO011030,2CO011030,2CO011030
2CO011031,2CO011031,2CO011031,2CO011031,2CO011031
2CO011032,2CO011032,2CO011032,2CO011032,2CO011032
2CO011033,2CO011033,2CO011033,2CO011033,2CO011033
2CO012001,2CO012001,2CO012001,2CO012001,2CO012001
2CO012002,2CO012002,2CO012002,2CO012002,2CO012002
2CO012003,2CO012003,2CO012003,2CO012003,2CO012003
2CO012004,2CO012004,2CO012004,2CO012004,2CO012004
2CO012005,2CO012005,2CO012005,2CO012005,2CO012005
2CO012006,2CO012006,2CO012006,2CO012006,2CO012006
2CO012007,2CO012007,2CO012007,2CO012007,2CO012007
2CO012008,2CO012008,2CO012008,2CO012008,2CO012008
2CO012009,2CO012009,2CO012009,2CO012009,2CO012009
2CO012010,2CO012010,2CO012010,2CO012010,2CO012010
2CO012011,2CO012011,2CO012011,2CO012011,2CO012011
2CO012012,2CO012012,2CO012012,2CO012012,2CO012012
2CO012013,2CO012013,2CO012013,2CO012013,2CO012013
2CO012014,2CO012014,2CO012014,2CO012014,2CO012014
2CO012015,2CO012015,2CO012015,2CO012015,2CO012015
2CO012016,2CO012016,2CO012016,2CO012016,2CO012016
2CO012017,2CO012017,2CO012017,2CO012017,2CO012017
2CO012018,2CO012018,2CO012018,2CO012018,2CO012018
2CO012019,2CO012019,2CO012019,2CO012019,2CO012019
2CO012020,2CO012020,2CO012020,2CO012020,2CO012020
2CO012021,2CO012021,2CO012021,2CO012021,2CO012021
2CO013001,2CO013001,2CO013001,2CO013001,2CO013001
2CO013002,2CO013002,2CO013002,2CO013002,2CO013002
2CO013003,2CO013003,2CO013003,2CO013003,2CO013003
2CO013004,2CO013004,2CO013004,2CO013004,2CO013004
2CO013005,2CO013005,2CO013005,2CO013005,2CO013005
2CO013006,2CO013006,2CO013006,2CO013006,2CO013006
2CO013007,2CO013007,2CO013007,2CO013007,2CO013007
2CO013008,2CO013008,2CO013008,2CO013008,2CO013008
2CO013009,2CO013009,2CO013009,2CO013009,2CO013009
2CO013010,2CO013010,2CO013010,2CO013010,2CO013010
2CO013011,2CO013011,2CO013011,2CO013011,2CO013011
2CO013012,2CO013012,2CO013012,2CO013012,2CO013012
2CO013013,2CO013013,2CO013013,2CO013013,2CO013013
2CO013014,,,,2CO013014
